order_id,order_date,customer_id,customer_name,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_country,order_status
ORD_0001,2024-12-12,CUST_1447,Customer CUST_1447,Sports,Product_17,2,423.8,847.6,Credit Card,Canada,Processing
ORD_0002,2024-12-05,CUST_3721,Customer CUST_3721,Home & Garden,Product_40,1,196.29,196.29,PayPal,Canada,Cancelled
ORD_0003,2025-04-10,CUST_7650,Customer CUST_7650,Home & Garden,Product_89,4,450.12,1800.48,Credit Card,Canada,Cancelled
ORD_0004,2024-09-24,CUST_1076,Customer CUST_1076,Sports,Product_62,4,37.16,148.64,Bank Transfer,Germany,Completed
ORD_0005,2024-08-20,CUST_5709,Customer CUST_5709,Clothing,Product_20,2,146.59,293.18,Credit Card,Canada,Processing
ORD_0006,2025-06-15,CUST_2485,Customer CUST_2485,Books,Product_30,2,308.52,617.04,Credit Card,France,Cancelled
ORD_0007,2025-08-03,CUST_8465,Customer CUST_8465,Home & Garden,Product_7,1,302.51,302.51,Bank Transfer,UK,Shipped
ORD_0008,2025-08-01,CUST_5017,Customer CUST_5017,Clothing,Product_42,1,324.49,324.49,PayPal,USA,Completed
ORD_0009,2025-06-13,CUST_8296,Customer CUST_8296,Clothing,Product_31,4,221.86,887.44,PayPal,Canada,Cancelled
ORD_0010,2024-10-31,CUST_1777,Customer CUST_1777,Sports,Product_58,4,262.65,1050.6,Bank Transfer,UK,Shipped
ORD_0011,2025-04-09,CUST_1081,Customer CUST_1081,Books,Product_10,4,451.58,1806.32,Credit Card,France,Completed
ORD_0012,2025-05-12,CUST_3473,Customer CUST_3473,Electronics,Product_29,1,472.4,472.4,Bank Transfer,UK,Processing
ORD_0013,2025-05-31,CUST_2527,Customer CUST_2527,Sports,Product_26,1,432.06,432.06,Credit Card,France,Processing
ORD_0014,2024-10-03,CUST_9223,Customer CUST_9223,Home & Garden,Product_91,2,335.19,670.38,PayPal,USA,Cancelled
ORD_0015,2025-02-14,CUST_1052,Customer CUST_1052,Home & Garden,Product_53,5,130.66,653.3,Bank Transfer,France,Completed
ORD_0016,2024-08-22,CUST_5488,Customer CUST_5488,Sports,Product_47,1,181.29,181.29,Credit Card,USA,Cancelled
ORD_0017,2025-05-30,CUST_8662,Customer CUST_8662,Sports,Product_54,5,356.42,1782.1000000000001,Bank Transfer,Germany,Cancelled
ORD_0018,2025-04-11,CUST_2058,Customer CUST_2058,Clothing,Product_35,2,393.54,787.08,Bank Transfer,Germany,Completed
ORD_0019,2024-10-24,CUST_2063,Customer CUST_2063,Clothing,Product_85,3,414.62,1243.8600000000001,PayPal,France,Shipped
ORD_0020,2025-06-17,CUST_4617,Customer CUST_4617,Home & Garden,Product_33,4,483.06,1932.24,Credit Card,France,Completed
ORD_0021,2025-07-28,CUST_5673,Customer CUST_5673,Books,Product_9,3,88.62,265.86,PayPal,Canada,Shipped
ORD_0022,2024-09-18,CUST_7532,Customer CUST_7532,Home & Garden,Product_60,5,238.98,1194.8999999999999,PayPal,UK,Shipped
ORD_0023,2024-12-11,CUST_3422,Customer CUST_3422,Home & Garden,Product_47,2,485.6,971.2,Credit Card,Canada,Shipped
ORD_0024,2025-08-02,CUST_6952,Customer CUST_6952,Electronics,Product_96,1,125.02,125.02,Credit Card,UK,Completed
ORD_0025,2024-12-24,CUST_1660,Customer CUST_1660,Books,Product_15,3,431.76,1295.28,Credit Card,Canada,Cancelled
ORD_0026,2024-12-09,CUST_4225,Customer CUST_4225,Clothing,Product_54,1,407.98,407.98,Bank Transfer,Germany,Processing
ORD_0027,2024-12-11,CUST_4881,Customer CUST_4881,Home & Garden,Product_94,5,30.33,151.64999999999998,Bank Transfer,France,Cancelled
ORD_0028,2024-11-11,CUST_8612,Customer CUST_8612,Clothing,Product_47,3,263.3,789.9000000000001,PayPal,UK,Shipped
ORD_0029,2025-07-10,CUST_9908,Customer CUST_9908,Electronics,Product_59,4,479.67,1918.68,Credit Card,France,Completed
ORD_0030,2025-02-10,CUST_1135,Customer CUST_1135,Electronics,Product_97,2,58.11,116.22,Bank Transfer,UK,Processing
ORD_0031,2025-05-16,CUST_5109,Customer CUST_5109,Sports,Product_47,3,368.26,1104.78,Bank Transfer,Canada,Cancelled
ORD_0032,2024-09-19,CUST_3693,Customer CUST_3693,Home & Garden,Product_85,5,144.01,720.05,Bank Transfer,UK,Cancelled
ORD_0033,2024-10-10,CUST_9197,Customer CUST_9197,Electronics,Product_19,3,312.81,938.4300000000001,PayPal,Canada,Completed
ORD_0034,2025-03-14,CUST_9539,Customer CUST_9539,Home & Garden,Product_75,2,118.81,237.62,Bank Transfer,Germany,Completed
ORD_0035,2024-09-20,CUST_5297,Customer CUST_5297,Electronics,Product_93,2,49.48,98.96,PayPal,UK,Completed
ORD_0036,2024-08-30,CUST_5226,Customer CUST_5226,Home & Garden,Product_61,5,462.91,2314.55,Bank Transfer,France,Cancelled
ORD_0037,2024-09-18,CUST_2537,Customer CUST_2537,Electronics,Product_36,3,464.35,1393.0500000000002,PayPal,UK,Processing
ORD_0038,2024-10-06,CUST_2969,Customer CUST_2969,Sports,Product_71,2,124.57,249.14,PayPal,UK,Completed
ORD_0039,2024-08-14,CUST_5619,Customer CUST_5619,Books,Product_13,1,18.28,18.28,Credit Card,Germany,Completed
ORD_0040,2025-07-29,CUST_7437,Customer CUST_7437,Sports,Product_32,2,447.15,894.3,Credit Card,France,Completed
ORD_0041,2024-08-30,CUST_5469,Customer CUST_5469,Books,Product_98,1,476.57,476.57,Credit Card,Canada,Processing
ORD_0042,2025-02-05,CUST_2415,Customer CUST_2415,Home & Garden,Product_94,2,30.17,60.34,PayPal,UK,Completed
ORD_0043,2025-05-22,CUST_8701,Customer CUST_8701,Sports,Product_73,4,423.5,1694.0,Bank Transfer,UK,Shipped
ORD_0044,2025-05-16,CUST_6948,Customer CUST_6948,Home & Garden,Product_92,4,108.58,434.32,Bank Transfer,Canada,Shipped
ORD_0045,2024-10-05,CUST_1423,Customer CUST_1423,Electronics,Product_13,5,473.66,2368.3,Bank Transfer,France,Processing
ORD_0046,2024-11-02,CUST_1518,Customer CUST_1518,Clothing,Product_93,5,448.07,2240.35,Credit Card,UK,Completed
ORD_0047,2025-01-30,CUST_8312,Customer CUST_8312,Home & Garden,Product_17,4,30.61,122.44,PayPal,Canada,Cancelled
ORD_0048,2024-09-27,CUST_6758,Customer CUST_6758,Books,Product_94,2,454.69,909.38,PayPal,UK,Cancelled
ORD_0049,2025-04-13,CUST_7522,Customer CUST_7522,Clothing,Product_67,2,477.79,955.58,Credit Card,Canada,Shipped
ORD_0050,2025-05-30,CUST_5312,Customer CUST_5312,Home & Garden,Product_100,4,415.01,1660.04,Bank Transfer,France,Shipped
ORD_0051,2025-02-18,CUST_1917,Customer CUST_1917,Books,Product_39,3,300.07,900.21,PayPal,France,Processing
ORD_0052,2025-08-08,CUST_7045,Customer CUST_7045,Sports,Product_68,3,32.72,98.16,Bank Transfer,Germany,Cancelled
ORD_0053,2024-11-17,CUST_9495,Customer CUST_9495,Books,Product_68,2,89.3,178.6,Bank Transfer,Canada,Completed
ORD_0054,2024-11-25,CUST_3796,Customer CUST_3796,Electronics,Product_91,2,470.58,941.16,Credit Card,UK,Processing
ORD_0055,2024-08-19,CUST_6747,Customer CUST_6747,Home & Garden,Product_59,4,22.02,88.08,PayPal,USA,Completed
ORD_0056,2024-12-16,CUST_5482,Customer CUST_5482,Clothing,Product_21,5,336.75,1683.75,Credit Card,Germany,Shipped
ORD_0057,2025-03-09,CUST_2682,Customer CUST_2682,Sports,Product_84,1,107.28,107.28,Credit Card,USA,Completed
ORD_0058,2025-04-16,CUST_8250,Customer CUST_8250,Sports,Product_58,2,362.84,725.68,PayPal,France,Completed
ORD_0059,2025-05-25,CUST_8118,Customer CUST_8118,Home & Garden,Product_88,5,380.93,1904.65,Credit Card,USA,Processing
ORD_0060,2024-12-21,CUST_4988,Customer CUST_4988,Home & Garden,Product_33,1,188.02,188.02,PayPal,Canada,Completed
ORD_0061,2025-03-18,CUST_2670,Customer CUST_2670,Electronics,Product_30,1,388.56,388.56,Bank Transfer,Germany,Completed
ORD_0062,2024-11-28,CUST_6321,Customer CUST_6321,Electronics,Product_95,3,344.33,1032.99,Bank Transfer,UK,Shipped
ORD_0063,2025-06-13,CUST_2036,Customer CUST_2036,Books,Product_86,4,119.84,479.36,Credit Card,USA,Cancelled
ORD_0064,2025-03-28,CUST_3641,Customer CUST_3641,Books,Product_80,1,383.43,383.43,PayPal,UK,Shipped
ORD_0065,2024-08-11,CUST_3214,Customer CUST_3214,Clothing,Product_16,3,403.25,1209.75,PayPal,UK,Completed
